source,system,sentence_id,text,subject,predicate,object,category,is_conflicting,is_ambiguous,confidence,competitor_count,provenance
carb30,slde_aft_llama,carb_test_0001,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,all households,were made up of,individuals,hallucinated_triple,,,,,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .
carb30,slde_aft_llama,carb_test_0001,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,all households,had,someone living alone who was 65 years of age or older,hallucinated_triple,,,,,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .
carb30,slde_aft_llama,carb_test_0001,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,32.7% of all households,were made up of,individuals,failed_extraction,,,,,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .
carb30,slde_aft_llama,carb_test_0001,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,15.7% of all households,had,someone living alone who was 65 years of age or older,failed_extraction,,,,,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .
carb30,slde_aft_llama,carb_test_0002,A CEN forms an important but small part of a Local Strategic Partnership .,a cen,forms,an important but small part of a local strategic partnership,hallucinated_triple,,,,,A CEN forms an important but small part of a Local Strategic Partnership .
carb30,slde_aft_llama,carb_test_0002,A CEN forms an important but small part of a Local Strategic Partnership .,a cen,forms,a small part of a local strategic partnership,failed_extraction,,,,,A CEN forms an important but small part of a Local Strategic Partnership .
carb30,slde_aft_llama,carb_test_0002,A CEN forms an important but small part of a Local Strategic Partnership .,a cen,forms,an important part of a local strategic partnership,failed_extraction,,,,,A CEN forms an important but small part of a Local Strategic Partnership .
carb30,slde_aft_llama,carb_test_0002,A CEN forms an important but small part of a Local Strategic Partnership .,a strategic partnership,is,local,failed_extraction,,,,,A CEN forms an important but small part of a Local Strategic Partnership .
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became,the youngest mayor in pittsburgh's history,hallucinated_triple,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became,the mayor at the age of 26,hallucinated_triple,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became,the mayor in september 2006,hallucinated_triple,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",the youngest mayor in pittsburgh 's history,was,26,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",the youngest mayor in pittsburgh 's history,was,a democrat,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,was,a democrat,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became,the youngest mayor in pittsburgh 's history,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became,the youngest mayor in the history of,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0003,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",he,became the youngest mayor in pittsburgh 's history at,the age of 26,failed_extraction,,,,,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a cafeteria,is located on,the sixth floor,hallucinated_triple,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a study hall,is located on,the 15th floor,hallucinated_triple,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a chapel,is located on,the 14th floor,hallucinated_triple,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a study hall,is located,on the 15th floor,failed_extraction,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a chapel,is located,on the 14th floor,failed_extraction,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0004,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",a cafeteria,is also located,on the sixth floor,failed_extraction,,,,,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the `tv8' network,changed to,the `southern cross network',hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the establishment of the `tv8' network,changed to,the `southern cross network',hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the `tv8' network,established,in 1982,hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the `tv8' network,established,seven years later,hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .","a common name, logo, and programming schedule",followed,in 1982,hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the establishment of the `tv8' network,between,the three stations,hallucinated_triple,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .","a common name , logo , and programming schedule",was followed with the establishment of the,`` tv8 '' network between the three stations,failed_extraction,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",`` tv8 '' network,was establishment,between the three stations,failed_extraction,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",`` tv8 '' network,was the established common name between,the three stations,failed_extraction,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0005,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",the `` tv8 '' network,changed to the,`` southern cross network '',failed_extraction,,,,,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later ."
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,deals with,the health effects of a heat wave,hallucinated_triple,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,is,a temporary air-conditioned public space,hallucinated_triple,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,set up by,local authorities,hallucinated_triple,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,is set up by,local authorities,failed_extraction,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,is a temporary,air-conditioned public space set up by local authorities to deal with the health effects of a heat wave,failed_extraction,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,local authorities set up a cooling center,to deal with the,health effects of a heat wave,failed_extraction,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0006,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,a cooling center,is a temporary air-conditioned public space set up by,local authorities to deal with the health effects of a heat wave,failed_extraction,,,,,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",manifold,can not be presented,connected sum of more than one manifold,hallucinated_triple,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",manifold,is,sphere of the same dimension,hallucinated_triple,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",manifold,is,prime,hallucinated_triple,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .","a `` prime '' manifold , a connected sum of more than one manifold ,",is not the,sphere of the same dimension,failed_extraction,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",a manifold,is `` prime '',"if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension",failed_extraction,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0007,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",a `` prime '' manifold,can not be presented as a connected sum of,"more than one manifold , none of which is the sphere of the same dimension",failed_extraction,,,,,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension ."
carb30,slde_aft_llama,carb_test_0008,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",a mid-march 2002 court order,was evaded,printing under other titles,hallucinated_triple,,,,,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' ."
carb30,slde_aft_llama,carb_test_0008,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",printing under other titles,such as,`` not that respublika '',hallucinated_triple,,,,,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' ."
carb30,slde_aft_llama,carb_test_0008,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",court,ordered to stop printing,for three months,failed_extraction,,,,,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' ."
carb30,slde_aft_llama,carb_test_0008,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .","a mid-march 2002 court order to stop printing for three months ,",was evaded by printing under,"other titles , such as `` not that respublika ''",failed_extraction,,,,,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' ."
carb30,slde_aft_llama,carb_test_0008,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",`` not that respublika '',was under,other titles,failed_extraction,,,,,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' ."
carb30,slde_aft_llama,carb_test_0009,"A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .",a motorcycle speedway long-track meeting,was staged,at ammanford,hallucinated_triple,,,,,"A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford ."
