experiment_id,run_id,prob_kb_version,subject,predicate,object,triple_key,observation_confidence,source_id,source_type,provenance,extractor_version,iteration
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Comes with 12GB of RAM.,has_ram_gb,12,comes with 12gb of ram.|has_ram_gb|12,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Comes with 12GB of RAM.,has_storage_gb,1024,comes with 12gb of ram.|has_storage_gb|1024,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Battery lasts up to 14 hours.,has_battery_life_hours,14,battery lasts up to 14 hours.|has_battery_life_hours|14,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Built with aluminum construction.,made_of_material,aluminum,built with aluminum construction.|made_of_material|aluminum,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Targeted at the US market.,target_market_region,US,targeted at the us market.|target_market_region|us,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Fast charging is no.,supports_fast_charging,no,fast charging is no.|supports_fast_charging|no,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Noise cancellation: no.,has_noise_cancellation,no,noise cancellation: no.|has_noise_cancellation|no,0.91,product_1,unstructured,Comes with 12GB of RAM. Offers 1024GB of internal storage. Battery lasts up to 14 hours. Built with aluminum construction. Targeted at the US market. Fast charging is no. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,manufactured_by,Zenbyte,zenbyte tablet air 8|manufactured_by|zenbyte,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,has_price_usd,1299,zenbyte tablet air 8|has_price_usd|1299,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,has_screen_size_inch,14.0,zenbyte tablet air 8|has_screen_size_inch|14.0,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,has_ram_gb,16,zenbyte tablet air 8|has_ram_gb|16,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,has_battery_life_hours,14,zenbyte tablet air 8|has_battery_life_hours|14,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
DEC029_NO_PROBKB,train_kb,deterministic_max_merge,Zenbyte Tablet Air 8,target_market_region,Global,zenbyte tablet air 8|target_market_region|global,0.85,product_8,unstructured,Zenbyte Tablet Air 8 is manufactured by Zenbyte. Priced at 1299 USD. The display measures 14.0 inches. Comes with 16GB of RAM. Battery lasts up to 14 hours. Targeted at the Global market. Noise cancellation: no.,unstructured,3
