32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	were made up of	32.7 % of all households	individuals
32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	had	15.7 %	someone living alone who was 65 years of age or older
A CEN forms an important but small part of a Local Strategic Partnership .	1.0	forms	A CEN	an important but small part of a Local Strategic Partnership
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became	he	the youngest mayor in Pittsburgh's history
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became mayor in	he	September 2006
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	was at the age of	he	26
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	is	he	a Democrat
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	A cafeteria	the sixth floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is on	a chapel	the 14th floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is on	a study hall	the 15th floor
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	1.0	told	A casting director at the time	Scott
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	1.0	told Scott that he had wished that he 'd met him	A casting director at the time	a week before
A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .	1.0	was casting for	A casting director at the time	the `` G.I. Joe '' cartoon
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is	A cooling center	a temporary air-conditioned public space
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up by	A cooling center	local authorities
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up to deal with	A cooling center	the health effects of a heat wave
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	is	A manifold	prime
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	can not be presented as	A manifold	a connected sum of more than one manifold
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	is	none of which	the sphere of the same dimension
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	was evaded by	A mid-March 2002 court order	printing under other titles
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	included	printing under other titles	Not That Respublika
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	was staged at	A motorcycle speedway long-track meeting	Ammanford
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	is one of the few held in	A motorcycle speedway long-track meeting	the UK
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	has	A spectrum from a single FID	a low signal-to-noise ratio
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	improves readily with	it	averaging of repeated acquisitions
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is not derived from	the Samaritan ethnonym	the region of Samaria
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is derived from	the Samaritan ethnonym	the fact that they were the "Guardians" of the true Israelite religion
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	were	they	the "Guardians" of the true Israelite religion
According to the 2010 census , the population of the town is 2,310 .	1.0	states according to	the 2010 census	the population of the town is 2,310
According to the 2010 census , the population of the town is 2,310 .	1.0	is	the population of the town	2,310
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of defrauding	Gonzalez	the West Bronx Neighborhood Association Inc.
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is	the West Bronx Neighborhood Association Inc.	a not-for-profit corporation
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	used funds donated to the organization to pay for	Gonzalez	over $37,000 in personal expenses
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	ceased after	cable hauling	1895
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled trains the whole length of	locomotives	the Victoria and Waterloo tunnels
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	found	the Colonials	a primitive, lush and vibrant new world
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	named	the Colonials	it Earth
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	went on to appear as	Cole	Blanche Ingram in the critically acclaimed "Jane Eyre" TV serial for the BBC
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	guest starred as	Cole	Lilith in the "Doctor Who" episode "The Shakespeare Code"
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	broke	Knievel	his arms
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	was more distraught over	Knievel	a permanent injury his accident caused to the cameraman
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	1.0	caused	his accident	a permanent injury to the cameraman
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	came through	Hazelwood	the invasion untouched
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank	Hazelwood	two small enemy freighters
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank with	Hazelwood	her guns
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	1.0	sank on	Hazelwood	the night of 25 February
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	1.0	is said to be	An animal	subsocial
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	1.0	cares for	An animal	its young
An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .	1.0	shows	An animal	no other sociality traits
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	was published in	An original limited artist edition of 250	1989
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	was	An original limited artist edition of 250	an oversized fine press slip-cased book
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	had	an oversized fine press slip-cased book	stainless steel faced boards
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	1.0	had	an oversized fine press slip-cased book	digital clock inset into the front cover
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	has formed a partnership with	ABS	Habitat for Humanity
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	1.0	to give	ABS	a free Bible to each of its new homeowners in the United States
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in	he	Ali's army
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	was in Ali's army in	he	the Battle of Jamal
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted	Muhammad ibn Abu Bakr	Aisha
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	1.0	escorted Aisha back to	Muhammad ibn Abu Bakr	Madina
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	comprises	Andrea Bianco's atlas of 1436	ten leaves of vellum
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	1.0	is in	Andrea Bianco's atlas of 1436	an 18th-century binding
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	were built in close proximity to	Apartment buildings , shops , medical clinics , cinemas etc.	the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	1.0	were providing	Apartment buildings , shops , medical clinics , cinemas etc.	plant workers with local necessities
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use	Applications	this service to record activity for a production system
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	1.0	can use	implementations of other OSIDs	the service to record detailed data during development, debugging, or analyzing performance
Applying this technique facilitates the connection of the center of the foot with the lower abdomen .	1.0	facilitates the connection of	this technique	the center of the foot with the lower abdomen
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	1.0	clashed with	he	Daniel O'Connell
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	1.0	insisted on	he	the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	1.0	insisted against	he	O'Connell's wishes
As a result , it becomes clear that the microbe can not survive outside a narrow pH range .	1.0	can not survive outside	the microbe	a narrow pH range
As a result , the lower river had to be dredged three times in two years .	1.0	had to be dredged	the lower river	three times in two years
As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .	1.0	contrasts	Armah	the two worlds of materialism and moral values
As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .	1.0	contrasts	Armah	corruption and dreams
As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .	1.0	contrasts	Armah	two worlds of integrity and social pressure
As is true for all sensors , absolute accuracy of a measurement requires a functionality for calibration .	1.0	requires	absolute accuracy of a measurement	a functionality for calibration
As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .	1.0	aspires to become	Sandy	a banker
As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .	1.0	aspires to become a banker on the grounds that	Sandy	it is practical and lucrative
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	1.0	were part of	several efforts	to have the Gypsy Horse recognized as a breed outside the Romanichal community
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	1.0	was sought for	a more descriptive name	the Gypsy Horse
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	1.0	was sought starting in	a more descriptive name	the 1990s
Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .	1.0	assisted in	Fernando Cabello	the recording process
Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .	1.0	assisted in	two friends of the group	the recording process
Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .	1.0	were	two friends of the group	Eva Dalda and Lydia Iovanne
At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .	1.0	helped	Celine Dion	the newly solvent airline
At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .	1.0	helped debut	Celine Dion	its new image
At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .	1.0	debut its new image	the newly solvent airline	at a presentation in the Toronto Pearson International Airport hangar
At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .	1.0	disappeared	At least 11 villagers	in the ensuing tsunami
At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .	1.0	were killed	8 people	in the ensuing tsunami
At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .	1.0	are prisoners at	two of which	one of the Permisan prisons
At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .	1.0	are provided at no cost to	these services	the parents
At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .	1.0	are provided in compliance with	these services	state and federal law
At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .	1.0	are reasonably calculated to yield	these services	meaningful educational benefit and student progress
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	is nearly possessed	Ballard	at one point
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	resists	Ballard	when she is given a drug
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	discovers	Ballard	that the spirits are attacking them
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	are attacking	the spirits	them
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	believe	the spirits	that the humans are invaders
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	1.0	plan to exterminate	the spirits	the humans on Mars
Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .	1.0	was unable to leave behind	Barbara	her vigilante life
Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .	1.0	fought	Barbara	a mugger
Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .	1.0	miscarried	Barbara	her child
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	1.0	marks the boundary between	Yesler Way	two different plats
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	1.0	does not line up with	the street grid north of Yesler	the neighborhood's other streets
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	1.0	zigzags along	the northern "border" of the district	numerous streets
Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .	1.0	played a role in the formation of	Muhammad	the alliance
Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .	1.0	plays a significant role in	the alliance	Islamic ethics
Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .	1.0	can outperform	Beast	any Olympic-level athlete
Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .	1.0	can outperform	Beast	any Olympic-level athlete contorting his body
Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .	1.0	can outperform	Beast	any Olympic-level athlete performing aerial feats gracefully
Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .	1.0	was happily married to	Bruce 's Justice Lord counterpart	Wonder Woman
Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .	1.0	killed	her Justice Lord counterpart	him
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	1.0	died of	Burnham	heart failure
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	1.0	died at the age of	Burnham	86
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	1.0	died on	Burnham	September 1 , 1947
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	1.0	died at	Burnham	his home
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	1.0	is in	his home	Santa , Barbara , California
But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .	1.0	reduces	this practice	government interest costs
But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .	1.0	can result in	this practice	hyperinflation
By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .	1.0	was raising	she	her own children
By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .	1.0	was raising	she	her nephews
By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .	1.0	had orphaned	the plague	her nephews
Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .	1.0	states that	Byers	global citizenship is a "powerful term" because "people that invoke it do so to provoke and justify action"
Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .	1.0	encourages	Byers	the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose, based on idealistic values
Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''	1.0	uses	Carl	the old magic
Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''	1.0	uses the old magic to tame	Carl	the Deep Crow
Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''	1.0	is claiming	Carl	it is not his first time to the rodeo
Certain fractional quantum Hall phases appear to have the right properties for building a topological quantum computer .	1.0	appear to have	Certain fractional quantum Hall phases	the right properties for building a topological quantum computer
Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	1.0	fulfilled	Chevalier	his promise
Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	1.0	erected	Chevalier	a shrine
Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	1.0	was dedicated to	the shrine	the honour of Mary
Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .	1.0	was under the title of	the shrine	Our Lady of the Sacred Heart
Cis-regulatory elements are sequences that control the transcription of a nearby gene .	1.0	are sequences that control	Cis-regulatory elements	the transcription of a nearby gene
Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .	1.0	filed	Citizens for Responsibility and Ethics in Washington	an Ethics Committee complaint against Bond over his role in the ouster of Graves
