32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	were made up of	32.7 % of all households	individuals
32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	had someone living alone	15.7 % of all households	who was 65 years of age or older
A CEN forms an important but small part of a Local Strategic Partnership .	1.0	forms an important but small part of	A CEN	a Local Strategic Partnership
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became the youngest mayor in	he	Pittsburgh 's history
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became the youngest mayor in	he	September 2006
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became the youngest mayor at the age of	he	26
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	A cafeteria	the sixth floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a chapel	the 14th floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a study hall	the 15th floor
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	occurred between	the establishment of the 'TV8' network	the three stations
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	changed to	the 'TV8' network	the 'Southern Cross Network'
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is	A cooling center	a temporary air-conditioned public space
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up by	A cooling center	local authorities
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is set up to deal with	A cooling center	the health effects of a heat wave
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	was evaded by	A mid-March 2002 court order	printing under other titles
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	include	other titles	Not That Respublika
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	was staged at	A motorcycle speedway long-track meeting	Ammanford
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	is one of the few held in	A motorcycle speedway long-track meeting	the UK
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	1.0	diverges on	NC 111	Greenwood Boulevard
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	has	A spectrum from a single FID	a low signal-to-noise ratio
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	improves readily with	it	averaging of repeated acquisitions
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is not derived from	the Samaritan ethnonym	the region of Samaria
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is derived from	the Samaritan ethnonym	the fact that they were the 'Guardians' of the true Israelite religion
According to the 2010 census , the population of the town is 2,310 .	1.0	is	the population of the town	2,310
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of defrauding	Gonzalez	the West Bronx Neighborhood Association Inc.
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of using	Gonzalez	funds donated to the organization
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of paying for	Gonzalez	over $37,000 in personal expenses
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	ceased after	cable hauling	1895
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled trains the whole length of	locomotives	the Victoria and Waterloo tunnels
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	found	the Colonials	a primitive, lush and vibrant new world
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	named	the Colonials	it Earth
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	went on to appear as	Cole	Blanche Ingram in the critically acclaimed 'Jane Eyre' TV serial for the BBC
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	guest starred as	Cole	Lilith in the 'Doctor Who' episode 'The Shakespeare Code'
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	rested in	Battra	the Arctic Ocean
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	retired to	Mothra	Infant Island
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	was accompanied by	Mothra	the two Cosmos
