32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	were made up of	all households	individuals
32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	1.0	had	all households	someone living alone who was 65 years of age or older
A CEN forms an important but small part of a Local Strategic Partnership .	1.0	forms	A CEN	an important but small part of a Local Strategic Partnership
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became	he	the youngest mayor in Pittsburgh's history
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became	he	the mayor in September 2006
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	1.0	became	he	the mayor at the age of 26
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	A cafeteria	the sixth floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a chapel	the 14th floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	1.0	is located on	a study hall	the 15th floor
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	followed	A common name, logo, and programming schedule	in 1982
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	between	the establishment of the `TV8' network	the three stations
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	changed to	the establishment of the `TV8' network	the `Southern Cross Network'
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	established	the `TV8' network	in 1982
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	changed to	the `TV8' network	the `Southern Cross Network'
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	1.0	established	the `TV8' network	seven years later
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	is	A cooling center	a temporary air-conditioned public space
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	set up by	A cooling center	local authorities
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	1.0	deals with	A cooling center	the health effects of a heat wave
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	is	manifold	prime
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	can not be presented	manifold	connected sum of more than one manifold
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	1.0	is	manifold	sphere of the same dimension
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	was evaded	A mid-March 2002 court order	printing under other titles
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	1.0	such as	printing under other titles	`` Not That Respublika ''
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	was held	A motorcycle speedway long-track meeting	in the UK
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	1.0	was staged	A motorcycle speedway long-track meeting	at Ammanford
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	1.0	may use	turbomachinery	one or more centrifugal compressors
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	1.0	is a list of	list	turbomachinery
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	1.0	lists	list	turbomachinery that may use one or more centrifugal compressors within the machine
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	1.0	diverges	NC 111	Greenwood Boulevard
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	has	a spectrum	a low signal-to-noise ratio
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	improves	it	readily
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	1.0	improves	it	with averaging of repeated acquisitions
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is derived from	the Samaritan ethnonym	the fact that they were the 'Guardians' of the true Israelite religion
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	1.0	is not derived from	the Samaritan ethnonym	the region of Samaria
According to the 2010 census , the population of the town is 2,310 .	1.0	has population	the town	2,310
According to the 2010 census , the population of the town is 2,310 .	1.0	states	the 2010 census	the population of the town
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	is accused of	Gonzalez	defrauding the West Bronx Neighborhood Association Inc.
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	used funds donated to	Gonzalez	the organization
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	1.0	paid for	Gonzalez	$ 37,000 in personal expenses
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	ceased	cable hauling	1895
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled	locomotives	trains
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	1.0	pulled	locomotives	the whole length of the Victoria and Waterloo tunnels
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	found	the Colonials	a primitive, lush and vibrant new world
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	1.0	named	the Colonials	Earth
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	went on to appear as	Cole	Blanche Ingram in the critically acclaimed "Jane Eyre" TV serial for the BBC
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	1.0	guest starred as	Cole	Lilith in the "Doctor Who" episode "The Shakespeare Code"
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	rested	Battra	the Arctic Ocean
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	retired	Mothra	Infant Island
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	1.0	accompanied by	Mothra	the two Cosmos
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	1.0	were arrested	many of the republicans	in Free State round ups
